ExperienceId,UserId,StartDate,EndDate,Company,Visible,Title
1,7,7/23/2018,12/7/2017,Wordify,0,Software Engineer
2,3,7/5/2018,7/20/2018,BlogXS,0,Software Engineer
3,7,5/15/2018,10/6/2017,Skibox,0,Software Engineer
4,8,7/3/2018,7/16/2018,Latz,0,Software Engineer
5,1,4/6/2018,4/10/2018,Jabbercube,0,Software Engineer
6,1,11/21/2017,8/11/2018,Camido,0,Software Engineer
7,9,5/30/2018,12/20/2017,Katz,0,Software Engineer
8,3,7/3/2018,3/18/2018,Vitz,0,Software Engineer
9,1,8/25/2018,8/10/2018,Twinte,0,Software Engineer
10,7,12/19/2017,7/15/2018,Realbridge,0,Software Engineer
11,5,12/20/2017,12/22/2017,Bubbletube,0,Software Engineer
12,5,12/15/2017,11/22/2017,Eabox,0,Software Engineer
13,8,2/1/2018,9/13/2018,Jayo,0,Software Engineer
14,8,2/23/2018,9/25/2018,Skalith,0,Software Engineer
15,8,6/27/2018,5/24/2018,Zoomzone,0,Software Engineer
16,1,10/3/2017,7/16/2018,Realmix,0,Software Engineer
17,2,6/28/2018,7/17/2018,Agivu,0,Software Engineer
18,8,8/27/2018,12/12/2017,Yombu,0,Software Engineer
19,1,10/9/2017,4/21/2018,Shufflebeat,0,Software Engineer
20,8,2/9/2018,1/15/2018,Quinu,0,Software Engineer
21,7,10/31/2017,10/28/2017,Yadel,0,Software Engineer
22,3,7/19/2018,9/1/2018,Miboo,0,Software Engineer
23,4,7/10/2018,4/23/2018,Dynabox,0,Software Engineer
24,3,9/15/2018,4/19/2018,Twimm,0,Software Engineer
25,1,12/25/2017,2/4/2018,Thoughtworks,0,Software Engineer
26,3,12/3/2017,1/25/2018,Latz,0,Software Engineer
27,1,9/17/2018,1/7/2018,Jaxbean,0,Software Engineer
28,2,5/13/2018,7/30/2018,Edgepulse,0,Software Engineer
29,7,10/12/2017,2/3/2018,Skinder,0,Software Engineer
30,1,1/7/2018,3/13/2018,Flipstorm,0,Software Engineer
31,9,10/28/2017,1/11/2018,Zoonoodle,0,Software Engineer
32,7,9/11/2018,11/17/2017,Twitterbridge,0,Software Engineer
33,7,1/27/2018,11/29/2017,Youopia,0,Software Engineer
34,1,11/9/2017,3/27/2018,Meemm,0,Software Engineer
35,5,4/10/2018,7/24/2018,Yodel,0,Software Engineer
36,1,5/27/2018,5/26/2018,Jetwire,0,Software Engineer
37,8,10/25/2017,2/10/2018,Bluezoom,0,Software Engineer
38,5,11/27/2017,11/4/2017,Zooveo,0,Software Engineer
39,5,1/17/2018,11/5/2017,Oyope,0,Software Engineer
40,6,8/23/2018,12/15/2017,Voolia,0,Software Engineer
41,9,10/20/2017,4/1/2018,Meetz,0,Software Engineer
42,3,10/31/2017,11/29/2017,Gabvine,0,Software Engineer
43,9,9/5/2018,6/25/2018,Aibox,0,Software Engineer
44,1,5/16/2018,8/25/2018,Yabox,0,Software Engineer
45,4,5/22/2018,4/15/2018,Realbridge,0,Software Engineer
46,1,12/20/2017,12/16/2017,Thoughtbeat,0,Software Engineer
47,7,2/18/2018,9/8/2018,Kwilith,0,Software Engineer
