LikeCommentConnectionId,NotificationId,Message,UserId,TargetUserId,Status,Type
5,1,In eleifend quam a odio.,29,3,0,2
0,2,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,66,8,0,1
1,3,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,93,7,0,1
4,4,Phasellus sit amet erat. Nulla tempus.,26,5,0,1
4,5,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,95,9,0,2
2,6,Aliquam non mauris. Morbi non lectus.,5,7,0,1
3,7,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",4,3,0,2
3,8,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,85,8,0,0
5,9,Etiam pretium iaculis justo. In hac habitasse platea dictumst.,86,6,0,0
0,10,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",93,3,0,2
2,11,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",45,9,0,2
0,12,Donec dapibus. Duis at velit eu est congue elementum.,42,10,0,0
3,13,Nullam molestie nibh in lectus. Pellentesque at nulla.,20,5,0,2
5,14,Mauris ullamcorper purus sit amet nulla.,15,3,0,1
3,15,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",44,10,0,1
0,16,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,40,8,0,1
1,17,Sed ante. Vivamus tortor.,35,6,0,0
5,18,Morbi porttitor lorem id ligula.,91,9,0,2
4,19,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",89,7,0,1
5,20,Pellentesque at nulla.,52,3,0,2
2,21,Donec semper sapien a libero. Nam dui.,57,8,0,1
2,22,Proin risus.,72,4,0,2
4,23,Duis mattis egestas metus. Aenean fermentum.,82,7,0,1
5,24,Suspendisse potenti.,48,2,0,2
5,25,Donec dapibus. Duis at velit eu est congue elementum.,22,3,0,0
1,26,Etiam pretium iaculis justo. In hac habitasse platea dictumst.,69,8,0,2
3,27,Vivamus tortor. Duis mattis egestas metus.,51,6,0,1
0,28,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",56,7,0,1
2,29,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",77,5,0,2
1,30,Integer ac leo. Pellentesque ultrices mattis odio.,4,5,0,1
0,31,Proin risus. Praesent lectus.,66,1,0,0
1,32,Suspendisse accumsan tortor quis turpis. Sed ante.,96,10,0,0
4,33,Nullam molestie nibh in lectus. Pellentesque at nulla.,56,5,0,2
3,34,Donec posuere metus vitae ipsum. Aliquam non mauris.,27,6,0,2
2,35,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",68,2,0,2
5,36,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,49,8,0,1
1,37,In hac habitasse platea dictumst.,73,4,0,2
5,38,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,75,10,0,2
4,39,In eleifend quam a odio. In hac habitasse platea dictumst.,74,5,0,1
2,40,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",70,10,0,1
0,41,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",45,3,0,0
1,42,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",70,2,0,1
0,43,In sagittis dui vel nisl. Duis ac nibh.,85,4,0,1
0,44,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",97,4,0,0
3,45,Proin at turpis a pede posuere nonummy. Integer non velit.,68,6,0,2
4,46,Curabitur convallis.,95,8,0,1
4,47,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",74,7,0,0
3,48,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",32,3,0,2
1,49,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae,14,46,4,0
1,50,Sed vel enim sit amet nunc viverra dapibus.,78,10,0,2
